Customer,P.O. Nbr,SO Nbr,S.O. Date,Invoices,Order Status,Order Line/Status
"77950 - NAGLE SIGNS, INC.",,62195,4/25/2007,62195,Closed,1 - Closed
,,,,,,2 - Closed
2133 - BELLA LUBES,,62197,4/26/2007,62197,Closed,1 - Closed
,,,,,,2 - Closed
,,,,,,3 - Closed
,,,,,,4 - Closed
,,,,,,5 - Closed
2185 - TACO JOHN'S,,62106,4/27/2007,,Closed,1 - Closed
2151 - WAUKEE CYCLING & FITNESS,,62199,4/27/2007,62199,Closed,1 - Closed
,,,,,,2 - Closed
,,,,,,3 - Closed
18600 - CAT SCALE,,62200,4/27/2007,62200,Closed,1 - Closed
,,,,,,2 - Closed
18600 - CAT SCALE,,62201,4/27/2007,62201,Closed,1 - Closed
,,,,,,2 - Closed
2174 - ST HOWARD DEVELOPMENT,,62202,4/27/2007,62202,Closed,1 - Closed
,,,,,,2 - Closed
106950 - TACO JOHN'S,,62206,4/30/2007,62206,Closed,1 - Closed
18600 - CAT SCALE,,1035,5/1/2007,1035,Closed,1 - Closed
,,,,,,2 - Closed
,,,,,,3 - Closed
,,,,,,4 - Closed
,,,,,,5 - Closed
,,,,,,6 - Closed
,,,,,,7 - Closed
,,,,,,8 - Closed
41450 - FAIRFIELD AUTO CO. LLC,,1024,5/4/2007,1024,Closed,1 - Closed
,,,,,,2 - Closed
,,,,,,3 - Closed
"77950 - NAGLE SIGNS, INC.",,1133,5/7/2007,1133,Closed,1 - Closed
200 - 5 & DINER RESTAURANTS,,62193,5/7/2007,62193,Closed,1 - Closed
,,,,,,2 - Closed
2118 - CAT SCALE#1163,,SC1011,5/7/2007,SC1011,Closed,1 - Closed
"26650 - CHICAGO RESTAURANT CO., LLC",,SC1012,5/7/2007,SC1012,Closed,1 - Closed
"77950 - NAGLE SIGNS, INC.",1184,1000,5/8/2007,1000,Closed,1 - Closed
"77950 - NAGLE SIGNS, INC.",1183,1001,5/8/2007,1001,Closed,1 - Closed
"77950 - NAGLE SIGNS, INC.",1182,1002,5/8/2007,1002,Closed,1 - Closed
2101 - SALAD CREATIONS,,1003,5/8/2007,1003,Closed,1 - Closed
2124 - CHRISTOPHERSON PROPERTIES,,SC1026,5/8/2007,SC1026,Closed,1 - Closed
63200 - KERKHOFF CHIROPRACTIC,,1005,5/9/2007,1005,Closed,1 - Closed
,,,,1005-2,,2 - Closed
74550 - MICROTEL INN & STES,,1007,5/9/2007,1007,Closed,1 - Closed
2152 - CAT #37,26382,1026,5/9/2007,1026,Closed,1 - Closed
,,,,,,2 - Closed
95950 - NATIONAL CARWASH SOLUTIONS,134860,1008,5/10/2007,1008,Closed,1 - Closed
18600 - CAT SCALE,17104,1025,5/10/2007,1025,Closed,1 - Closed
95950 - NATIONAL CARWASH SOLUTIONS,,62092,5/10/2007,62092,Closed,1 - Closed
,,,,,,2 - Closed
,,,,,,3 - Closed
,,,,,,4 - Closed
2114 - FIRST REALTY GMAC REAL ESTATE,,1009,5/11/2007,1009,Closed,1 - Closed
,,,,,,2 - Closed
,,,,,,3 - Closed
,,,,,,4 - Closed
,,,,,,5 - Closed
,,,,,,6 - Closed
2154 - DIVINE FLOWERS BY SALEY,,1011,5/11/2007,1011,Closed,1 - Closed
73650 - MERCURY INSURANCE,,1013,5/11/2007,1013,Closed,1 - Closed
"77950 - NAGLE SIGNS, INC.",,1017,5/11/2007,1017,Closed,1 - Deleted
,,,,,,2 - Closed
2114 - FIRST REALTY GMAC REAL ESTATE,,1018,5/11/2007,1018,Closed,1 - Closed
,,,,,,2 - Closed
,,,,,,3 - Closed
,,,,,,4 - Closed
,,,,,,5 - Closed
2114 - FIRST REALTY GMAC REAL ESTATE,,1019,5/11/2007,1019,Closed,1 - Closed
,,,,,,2 - Closed
,,,,,,3 - Closed
,,,,,,4 - Closed
,,,,,,5 - Closed
2153 - CHEAP CHARLEY'S AUTO SALES,,SC1015,5/11/2007,SC1015,Closed,1 - Closed
87350 - PIONEER,4500567462,SC1016,5/11/2007,SC1016,Closed,1 - Closed
68550 - LOS CABOS,,SC1018,5/11/2007,SC1018,Closed,1 - Closed
94200 - RIVERFRONT FOODSERVICE CORP.,,SC1019,5/11/2007,SC1019,Closed,1 - Closed
69850 - MAID-RITE COMPANY,E-0011115,1021,5/12/2007,1021,Closed,1 - Deleted
,,,,,,2 - Closed
,,,,,,3 - Closed
,,,,,,4 - Closed
,,,,,,5 - Closed
69850 - MAID-RITE COMPANY,E-0011086,1022,5/12/2007,1022,Closed,1 - Deleted
,,,,,,2 - Deleted
,,,,,,3 - Closed
69850 - MAID-RITE COMPANY,E-0011085,1023,5/12/2007,1023,Closed,1 - Closed
,,,,,,2 - Closed
,,,,,,3 - Closed
,,,,,,4 - Deleted
13900 - BRIDGEWOOD PLAZA LLC,,61883,5/12/2007,61883,Closed,1 - Closed
,,,,,,2 - Deleted
,,,,,,3 - Closed
,,,,,,4 - Closed
,,,,,,5 - Closed
,,,,,,6 - Closed
,,,,,,7 - Closed
123560 - WINESTYLES,,62203,5/12/2007,62203,Closed,1 - Closed
,,,,,,2 - Closed
,,,,,,3 - Closed
,,,,,,4 - Closed
,,,,,,5 - Closed
,,,,,,6 - Closed
,,,,,,7 - Closed
2114 - FIRST REALTY GMAC REAL ESTATE,,1029,5/14/2007,1029,Closed,1 - Closed
,,,,,,2 - Closed
,,,,,,3 - Closed
,,,,,,4 - Closed
,,,,,,5 - Closed
,,,,,,6 - Closed
2114 - FIRST REALTY GMAC REAL ESTATE,,1030,5/14/2007,1030,Closed,1 - Closed
,,,,,,2 - Closed
,,,,,,3 - Closed
2159 - FORT DES MOINES FINANCIAL SERVICES,,1031,5/14/2007,1031,Closed,1 - Closed
,,,,,,2 - Closed
38050 - EAGLE SIGN CO.,,62075,5/14/2007,62075,Closed,1 - Closed
,,,,,,2 - Closed
,,,,,,3 - Closed
,,,,,,4 - Closed
,,,,,,5 - Closed
,,,,,,6 - Closed
,,,,,,7 - Closed
,,,,,,8 - Closed
,,,,,,9 - Closed
,,,,,,10 - Closed
52350 - HARRIS AUTO RACING,,SC1022,5/14/2007,SC1022,Closed,1 - Closed
109200 - TACO JOHN'S,,SC1023,5/14/2007,SC1023,Closed,1 - Closed
110100 - TACO JOHN'S OF IOWA,,SC1024,5/14/2007,SC1024,Closed,1 - Closed
2162 - TACO JOHN'S,,1034,5/15/2007,1034,Closed,1 - Closed
