"Part Nbr","Description","Inv Type","Sales Code","Lead Code","Engr Status","Whse Location","Qty On Hand","UOM","List Price","Acctg Cost"
"202-1235","EXCELLART MC RETAINER - H STYLE","FALEXT","","P","A","","284","FT","4.37217","2.49838"
"202-1240",".188"" ZF RETAINER - 26'","FALEXT","","P","A","","0","FT","2.08000","1.19000"
"202-1245",".250"" ZF RETAINER - 26'","FALEXT","","P","A","","0","LF","5.25000","3.00000"
"202-1247","1-1/2"" ZF Retainer - 26'","FALEXT","","P","A","","0","LF","2.80000","1.60000"
"202-1250","L-1982N  2-PC RACEWAY","FALEXT","","P","A","20","0","FT","10.12799","5.78742"
"202-1260","R-1981 2-PC RACEWAY","FALEXT","","P","A","","0","FT","9.26294","5.29311"
"202-1261","Raceway Spreader LC5972N-8","FALEXT","","P","A","","-20","EA","3.09750","1.77000"
"202-1262","LC5972N5 5"" narrow channel letter raceway brace/bracket mill finish","FALEXT","","P","A","20","0","EA","2.32750","1.33000"
"202-1263","LCB1970N narrow 5"" channel letter raceway and cover","FALEXT","","P","A","20","294","FT","20.16440","11.52250"
"202-1264","LC5987N5 5"" narrow channel letter raceway end cap mill finish","FALEXT","","P","A","20","0","EA","14.24500","8.14000"
"202-1265","7"" EXCELLART CHANNEL LETTER RACEWAY - 1401015 24'6"" pieces.","FALEXT","","P","A","20","425","FT","17.44750","9.21000"
"202-1266","Excellart 7"" RACEWAY ENDCAP","FALEXT","","P","A","20","23","EA","19.19750","10.97000"
"202-1267","Excellart 2"" mounting bracket","FALEXT","","P","A","20","216","EA","3.46500","1.98000"
"202-1270","RACEWAY SPREADER BARS","FALEXT","","M","A","","549","EA","4.71000","2.69000"
"202-1280","5/8"" SONOFOAM BACKER ROD","FALEXT","","P","A","","0","FT","0.10000","0.05720"
"202-1290","1986N RACEWAY COVER","FALEXT","","P","A","20","0","FT","4.45209","2.54405"
"202-1295","7"" EXCELLART CHANNEL LETTER RACEWAY COVER - 1401016 24'6"" pieces","FALEXT","","P","A","20","425","FT","4.28750","2.26000"
"202-1300","RACEWAY END CAPS","FALEXT","","M","A","","0","EA","7.97668","4.55810"
"202-1305","BALLAST RACEWAY ENDCAP - PC-857-1","FALEXT","","P","A","","0","EA","6.63250","3.24000"
"202-1306","HIGH VOLTAGE JUNCTION BOX","FALEXT","","P","A","","0","EA","7.45500","4.26000"
"202-1310","MOUNTING CLIPS","FALEXT","","P","A","","0","EA","2.99250","1.71000"
"202-1320","5"" X 7"" HAND HOLE COVER","FALEXT","","M","A","","-14","EA","3.27469","1.87125"
"202-1330","6"" X 7"" X .032"" HAND HOLE COVER","FALEXT","","M","A","","-22","EA","2.73919","1.56525"
"202-1340","STRUT BRACKETS/NAGLE","FALEXT","","P","A","","0","FT","1.88000","1.09040"
"202-1350","SFCMB - Single Face Corner Mou","FALEXT","","M","A","","0","EA","2.20500","1.26000"
"202-1400","Large Channel Extrusion 10'","FALEXT","","P","A","","15","FT","30.93038","17.67450"
"202-1400-BNW","Bolt/Nut/Washer assembly for","FALEXT","","P","A","","0","EA","2.69500","1.54000"
"202-1400-CLMP","RSJ Clamp, Lip-Lok Bolt for","FALEXT","","P","A","","0","EA","7.98000","4.56000"
"203-0100","1"" X 1"" X 1/8"" ALUM ANGLE - 25'","FALUM","","P","A","","0","FT","1.16463","0.66550"
"203-0110","1"" X 1"" X 3/16"" ALUM ANGLE - 25'","FALUM","","P","A","","62","FT","2.41500","1.38000"
"203-0120","1-1/2"" X 1-1/2"" X 1/8"" ALUM ANGLE","FALUM","","P","A","","0","LF","1.68000","0.95830"
"203-0130","1-1/2"" X 1-1/2"" X 3/16"" ALUM ANGLE","FALUM","","P","A","","35","LF","3.86750","2.21000"
"203-0140","2"" X 2"" X 1/8"" ALUM ANGLE - 25'","FALUM","","P","A","","273","FT","3.48250","1.99000"
"203-0150","2"" X 2"" X 3/16"" ALUM ANGLE - 25'","FALUM","","P","A","","632","FT","6.57440","2.84760"
"203-0160","2"" X 2"" X 1/4"" ALUM ANGLE - 25'","FALUM","","P","A","","512","FT","6.50790","3.71880"
