"06 NOV 2025","16:26:52","","","GROSS MARGIN BY SALESPERSON",
"","","","","PERIOD: 11/01/17 through 10/31/18",

"Invoice No","Inv Date","Prod Code","Cust No","Customer Name","Gross Sales","Total Cost","Gross Margin","GM %","Extra Charge","Salesperson #1","Comm Rate #1","Salesperson #2","Comm Rate #2","Salesperson #3","Comm Rate #3","Location No","Location Name","City","State",
"8562","03/30/18","MISC","77950","NAGLE SIGNS  INC.","1176.88","874.70","302.18","25.68","","HOUSE","","","","","","165","CITY LAUNDRY - NAGLE SIGNS","OELWEIN","IA",
"8583","03/30/18","MISC","106000","SUPER WASH","17.60","281.30","-263.70","-1498.30","153.23","HOUSE","","","","","","DEFAULT","SUPER WASH","MORRISON","IL",
"8583","03/30/18","MISC","106000","SUPER WASH","16.00","51.52","-35.52","-222.00","","HOUSE","","","","","","DEFAULT","SUPER WASH","MORRISON","IL",
"8583","03/30/18","MISC","106000","SUPER WASH","75.60","0.00","75.60","100.00","","HOUSE","","","","","","DEFAULT","SUPER WASH","MORRISON","IL",
"8592","04/03/18","MISC","4129","A-D DISTRIBUTING CO.","137.50","64.35","73.15","53.20","","HOUSE","","","","","","51","THE PRINTER INC.- A-D DISTRIBUTING","DES MOINES","IA",
"8594","03/30/18","MISC","77950","NAGLE SIGNS  INC.","291.90","232.37","59.53","20.39","","HOUSE","","","","","","173","POLK CITY COMMUNITY-LIBRARY - NAGLE SIGNS","POLK CITY","IA",
"8597","03/30/18","MISC","77950","NAGLE SIGNS  INC.","347.45","330.20","17.25","4.96","","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"8597","03/30/18","MISC","77950","NAGLE SIGNS  INC.","412.75","277.97","134.78","32.65","","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"8597","03/30/18","MISC","77950","NAGLE SIGNS  INC.","351.00","280.80","70.20","20.00","","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"8652","06/13/18","MISC","4779","EAGLE SIGN CO.","0.00","97.85","-97.85","","","HOUSE","","","","","","DEFAULT","EAGLE SIGN CO.","GRIMES","IA",
"8655","05/09/18","MISC","77950","NAGLE SIGNS  INC.","195.00","134.80","60.20","30.87","","HOUSE","","","","","","182","PANCHEROS MEXICAN GRILL- NAGLE SIGNS","ANKNEY","IA",
"8689","06/14/18","MISC","5312","MISSION FITNESS","0.00","110.46","-110.46","","","HOUSE","","","","","","DEFAULT","MISSION FITNESS","WAUKEE","IA",
"8699","06/11/18","MISC","5318","BULBGUY LIGHTING","93.39","42.45","50.94","54.55","","HOUSE","","","","","","DEFAULT","BULBGUY LIGHTING","DES MOINES","IA",
"8700","06/07/18","MISC","117750","UNITED PARCEL SERVICE","1200.00","832.94","367.06","30.59","","HOUSE","","","","","","DEFAULT","Wingfield Scale ","Chattanooga","TN",
