Part Number,Short Description,Inventory Type,Inventory UOM,Purchase UOM,Qty On Hand,Unit Cost,List Price,Accounting Cost,User 1 Cost,User 2 Cost,Last Actual Cost,Average Cost
405-0180,BRONZE,PAINT,OZ,GL,0,0.8974,1.57045,0.8974,0.8974,0,0.8973,0.1063
405-0190,M20-64 BRONZETOWN BMOORE,PAINT,OZ,GL,0,0.37609,0.65816,0.3761,0.3761,0,0,0
405-0200,BROWN BILLBOARD CEDAR/MAINT,PAINT,OZ,GL,0,0.20856,0.36498,0.2086,0.2086,0,0,0
405-0210,MC-8504 PETRO GRAY V-COTE 222,PAINT,OZ,GL,0,0.21,0.3675,0.21,0,0,0,0
405-0220,HOUSE PAINT NON TINT WHITE,PAINT,OZ,GL,0,0.16758,0.29327,0.1676,0.1676,0,0,0
405-0230,1502 WHITE PAINT SG,PAINT,OZ,GL,0,0.17727,0.31022,0.1773,0.1773,0,0,0
405-0240,SEMI GLOSS WHITE PAINT,PAINT,OZ,GL,0,0.36352,0.63616,0.3635,0.3635,0,0.2293,0.2293
405-0250,390491 White B10 Base Grip-Gard Plus,PAINT,OZ,GL,0,0.89742,1.57049,0.8974,0.84,0,1.0058,0.9915
406-0100,482-BK (HI HIDING) BLACK,PAINT,OZ,GL,0,0.39697,0.6947,0.397,0.397,0,0,0
406-0110,460B MIDNIGHT BLUE LACRYL,PAINT,OZ,GL,0,0.45352,0.79366,0.4535,0.4535,0,0,0
406-0120,461-B OCEAN BLUE LACRYL,PAINT,OZ,GL,0,0.31406,0.54961,0.3141,0.3141,0,0,0
406-0130,462B CARB BLUE LACRYL,PAINT,OZ,GL,0,0.30383,0.5317,0.3038,0.3038,0,0,0
406-0140,463B BLUE LACRYL PAINT,PAINT,OZ,GL,0,0.50211,0.87869,0.5021,0.5021,0,0,0
406-0150,451 LIGHT BROWN LACRYL,PAINT,OZ,GL,0,0.32188,0.56329,0.3219,0.3219,0,0,0
406-0160,452B PALE BROWN LACRYL,PAINT,OZ,GL,0,0.52656,0.92148,0.5266,0.5266,0,0,0
406-0170,453-BR BROWN LACRYL,PAINT,OZ,GL,0,0.37617,0.6583,0.3762,0.3762,0,0,0
406-0180,454BR BROWN LACRYL PAINT,PAINT,OZ,GL,0,0.2375,0.41563,0.2375,0.2375,0,0,0
406-0190,312 BRONZE LACRYL FOR MTL,PAINT,OZ,GL,0,0.2,0.35,0.2,0.2,0,0,0
406-0200,455 DARK BRONZE LACRYL PAINT,PAINT,OZ,GL,0,0.29883,0.52295,0.2988,0.2988,0,0,0
406-0210,490CL CLEAR LACRYL,PAINT,OZ,GL,0,0.25898,0.45322,0.259,0.259,0,0,0
406-0220,491C CLEAR MATTE LACRYL,PAINT,OZ,GL,0,0.27949,0.48911,0.2795,0.2795,0,0.2107,0.2795
406-0230,493C CLEAR UV MATTE LACRYL,PAINT,OZ,GL,0,0.25406,0.44461,0.2541,0.2541,0,0,0
406-0240,436 CRANBERRY LACRYL,PAINT,OZ,GL,0,0.34,0.595,0.34,0,0,0,0
406-0250,20-313E DURANODIC SERIES 20,PAINT,OZ,GL,0,0.30594,0.5354,0.3059,0.3059,0,0,0
406-0260,454 DURANODIC LACRYL,PAINT,OZ,GL,0,0.4225,0.73938,0.4225,0.4225,0,0,0
406-0270,455 DK BRONZE DURANODIC,PAINT,OZ,GL,0,0.26547,0.46457,0.2655,0.2655,0,0,0
406-0280,456 BR DURANODIC LACRYL,PAINT,OZ,GL,0,0.40469,0.70821,0.4047,0.4047,0,0,0
406-0290,497MG METALLIC GOLD LACRL,PAINT,OZ,GL,0,0.41117,0.71955,0.4112,0.4112,0,0,0
406-0300,470-G GREEN LACRYL,PAINT,OZ,GL,0,0.42016,0.73528,0.4202,0.4202,0,0,0
406-0310,471G SHAMROCK GREEN LACRL,PAINT,OZ,GL,0,0.49884,0.87297,0.4988,0.4988,0,0,0
406-0320,409-I IVORY LACRYL PAINT,PAINT,OZ,GL,0,0.30172,0.52801,0.3017,0.3017,0,0,0
406-0330,440M MAGENTA LACRYL,PAINT,OZ,GL,0,0.4925,0.86188,0.4925,0.4925,0,0,0
406-0340,424 ORANGE LACRYL PAINT,PAINT,OZ,GL,0,0.65,1.1375,0.65,0.65,0,0,0
406-0350,446R DEEP PLUM LACRYL,PAINT,OZ,GL,0,0.57688,1.00954,0.5769,0.5769,0,0,0
406-0360,421 ORANGE/PUMPKIN LACR,PAINT,OZ,GL,0,0.38758,0.67827,0.3876,0.3876,0,0,0
406-0370,425 LEAD FREE ORANGE/PUMPKIN,PAINT,OZ,GL,0,0.7418,1.29815,0.7418,0.7418,0,0,0
406-0380,432R PERM RED LACRYL,PAINT,OZ,GL,0,0.47227,0.82647,0.4723,0.4723,0,0,0
406-0390,435R RUBY RED LACRYL,PAINT,OZ,GL,0,0.43125,0.75469,0.4313,0.4313,0,0,0
406-0400,438 DEEP RED LACRYL PAINT,PAINT,OZ,GL,0,0.45789,0.80131,0.4579,0.4579,0,0,0
406-0410,439 FLAME RED LACRYL,PAINT,OZ,GL,0,0.43039,0.75318,0.4304,0.4304,0,0,0
406-0420,443R RED LACRYL PAINT,PAINT,OZ,GL,0,0.44338,0.77592,0.4434,0.4434,0,0,0
406-0430,444R APPLE RED LACRYL PAINT,PAINT,OZ,GL,0,0.79453,1.39043,0.7945,0.7945,0,0,0
406-0440,447 UNIQUE RED/LEAD FREE,PAINT,OZ,GL,0,1.37949,2.41411,1.3795,0.7239,0,1.3795,0.565
406-0450,449 FLAME RED LEAD FREE LACRYL,PAINT,OZ,GL,0,0.72383,1.2667,0.7238,0.7238,0,0,0
406-0460,496-MS METALLIC SILVER LACRYL,PAINT,OZ,GL,0,0.53906,0.94336,0.5391,0.5391,0,0,0
406-0470,LACRYL TOP COAT,PAINT,OZ,GL,0,0.36473,0.63828,0.3647,0.3647,0,0,0
